X,Y,Horizontal_Angle,Vertical_Angle,Velocity,Distance_to_goal,IfLeft
-31.0,14.0,35.48837596559403,15.484206303948305,32.99962394699175,47.28374456406768,1
-31.0,15.0,36.20412772084156,15.124202688953183,32.99959195818486,46.473137402159544,1
-31.0,16.0,36.94517123447853,15.070091321877362,32.99993758934952,45.67003941316452,1
-31.0,17.0,44.223017074834075,16.079575470151692,32.99970872621124,49.5373848724375,0
-31.0,18.0,45.04148860934028,15.736539170140091,32.99973158838613,48.82573604155907,0
-31.0,19.0,39.331293136869164,14.387872125137337,32.999998431933754,43.309958439139606,1
-31.0,20.0,46.75122699235404,15.322045879784788,32.999782449435806,47.43366420592025,0
-31.0,21.0,47.643877010769415,15.052393194049875,32.99933387592313,46.75417093693353,0
-31.0,22.0,48.56262528316127,15.214073587363513,32.99975281041451,46.0863591532245,0
-31.0,23.0,42.93844326315724,13.868684966368182,32.99993234663156,40.295812437522585,1
-31.0,24.0,50.48106920973953,14.603081683976399,32.9999745407533,44.78786107864496,0
-31.0,25.0,51.48203777144671,14.56720125304263,32.999973222084215,44.15826649677272,0
-31.0,26.0,52.51163725362809,14.621048562585626,32.999921175771995,43.542536673923806,0
-31.0,27.0,53.570419890622425,14.549741092472537,32.99891212254186,42.94126802971705,0
-31.0,28.0,54.65888991325793,14.369950296333984,32.99999393571701,42.35507643718755,0
-31.0,29.0,55.77749448985701,14.334260518433803,32.99964777995711,41.78459644414434,0
-31.0,30.0,56.92661398923604,13.815063989016094,32.999875969910974,41.230480230043405,0
-31.0,31.0,58.106551618603014,13.726010655370414,32.999102947256745,40.69339627015666,0
-31.0,32.0,59.31752251640671,13.725880591355368,32.99940963600319,40.17402767958423,0
-31.0,33.0,60.55964241106459,13.726077821150101,32.99894457378344,39.67307021141671,0
-31.0,34.0,61.83291599068001,13.726456927116555,32.99805069065884,39.19122988628961,0
-31.0,35.0,63.137225165611085,13.672151070027189,32.99968518005586,38.729220234856264,0
-30.0,0.0,32.580515058710226,19.15846992498203,32.99997750432036,62.304514282674575,0
-30.0,1.0,33.08248614140088,19.158548761123736,32.99984681071384,61.464237569500526,0
-30.0,2.0,33.598331452357755,18.77294138771899,32.99995784114853,60.62880915868297,0
-30.0,3.0,28.117526057311622,17.676264529607124,32.99978049958922,56.12354675178681,1
-30.0,4.0,28.606320993658557,17.330312493790533,32.999871109346465,55.243574286970244,1
-30.0,5.0,35.23416475752449,17.986450719933284,32.99955099044773,58.153697216943996,0
-30.0,6.0,35.810651057280445,17.858495134487875,32.99994201632288,57.339798569579926,0
-30.0,7.0,36.403676579591846,17.767327369550383,32.999914228246055,56.531871541635695,0
-30.0,8.0,30.726488634129453,16.60429567627649,32.99969514882024,51.76729179704111,1
-30.0,9.0,31.301524605554178,16.3507786712655,32.99975625898053,50.910239638013884,1
-30.0,10.0,38.287977581734374,16.967013604744434,32.99967097895433,54.14658345639178,0
-30.0,11.0,32.51137478372434,15.844676415101961,32.99998172981952,49.21232061181427,1
-30.0,12.0,39.63818280302067,16.53176793750745,32.99982963756042,52.59137286665941,0
-30.0,13.0,40.34347736887309,16.549934818968193,32.99972321376721,51.82521104636237,0
-30.0,14.0,41.06982445427451,16.42306542123856,32.99995915991386,51.06713718234066,0
-30.0,15.0,41.81793673598469,16.079543741317238,32.99977212407142,50.317516830622715,0
-30.0,16.0,35.929248267388175,14.710848472043173,32.999780372120256,45.07607458508338,1
-30.0,17.0,43.382373891503946,15.610268096475103,32.99981389205961,48.84518911827448,0
-30.0,18.0,37.47617956136137,14.5852791918846,32.999667418051104,43.47243379430234,1
-30.0,19.0,38.29293579226572,14.549327572253118,32.99982976864672,42.683164128260216,1
-30.0,20.0,45.91075702359494,15.267992930818371,32.99989398378032,46.710304002436125,0
-30.0,21.0,46.805034394870646,15.034282536430513,32.99961650950821,46.02013146439284,0
-30.0,22.0,47.72631099390627,14.962395294513561,32.999589833006105,45.34150967932144,0
-30.0,23.0,48.675329798181686,14.782675498784506,32.99975515501521,44.67496502516818,0
-30.0,24.0,49.65281827088039,14.692959091300015,32.99964684478533,44.02104610297215,0
-30.0,25.0,50.65948184016247,14.280414527268338,32.99985390472455,43.38032388076419,0
-30.0,26.0,51.69599657914717,14.513485704744863,32.999761742169675,42.75339167832185,0
